state_name,district_name,crop_year,season,crop,temperature,precipitation,humidity,area,production
Maharashtra,AHMEDNAGAR,1997,Kharif,Rice,24.243,42.3484,84,5900,7200
Maharashtra,AHMEDNAGAR,1998,Kharif,Rice,23.1,8.7838,70,5600,7400
Maharashtra,AHMEDNAGAR,1999,Kharif,Rice,22.8118,39.5078,35,5700,8000
Maharashtra,AHMEDNAGAR,2000,Kharif,Rice,23.2746,9.2558,33,5500,3800
Maharashtra,AHMEDNAGAR,2001,Kharif,Rice,23.5674,4.0668,29,7300,4100
Maharashtra,AHMEDNAGAR,2002,Kharif,Rice,23.5598,28.5188,85,7400,1700
Maharashtra,AHMEDNAGAR,2003,Kharif,Rice,23.7654,3.5496,87,7600,5900
Maharashtra,AHMEDNAGAR,2004,Kharif,Rice,23.456,8.3676,20,8000,5800
Maharashtra,AHMEDNAGAR,2005,Kharif,Rice,22.8787,46.7888,36,800,400
Maharashtra,AHMEDNAGAR,2006,Kharif,Rice,22.7811,20.8014,43,8400,6600
Maharashtra,AHMEDNAGAR,2007,Kharif,Rice,23.111,14.398,54,86,102
Maharashtra,AHMEDNAGAR,2008,Kharif,Rice,22.3211,35.4694,33,9300,9100
Maharashtra,AHMEDNAGAR,2009,Kharif,Rice,22.3564,28.1252,52,7400,2800
Maharashtra,AHMEDNAGAR,2010,Kharif,Rice,23.1456,26.9422,80,7500,7000
Maharashtra,AHMEDNAGAR,2011,Kharif,Rice,23.6523,32.6042,79,7900,7800
Maharashtra,AHMEDNAGAR,2012,Kharif,Rice,23.1234,9.5166,40,7500,4600
Maharashtra,AHMEDNAGAR,2013,Kharif,Rice,22.751,24.0944,79,7900,19000
Maharashtra,AHMEDNAGAR,2014,Kharif,Rice,22.8787,28.5188,43,8600,2200
Maharashtra,AKOLA,1997,Kharif,Rice,23.1122,5.213,54,2900,1600
Maharashtra,AKOLA,1998,Kharif,Rice,22.991,27.6824,34,2900,2000
Maharashtra,AMRAVATI,1997,Kharif,Rice,23.654,22.9778,44,9500,5800
Maharashtra,AMRAVATI,1998,Kharif,Rice,23.842,29.0668,44,8700,6100
Maharashtra,AMRAVATI,1999,Kharif,Rice,23.132,31.3068,34,8800,5600
Maharashtra,AMRAVATI,2000,Kharif,Rice,23.594,12.877,36,8900,4400
Maharashtra,AMRAVATI,2001,Kharif,Rice,23.202,27.4898,23,10300,9700
Maharashtra,AMRAVATI,2002,Kharif,Rice,24.2112,23.9706,50,11000,7200
Maharashtra,AMRAVATI,2003,Kharif,Rice,24.458,6.4794,47,10200,6000
